forecast_run_initialized_utc,forecast_available_utc,forecast_valid_utc,forecast_horizon_h,model_lead_h,target_region,target_name,target_lat,target_lon,forecast_model,forecast_source,forecast_source_timezone,availability_delay_assumption_h,temperature_2m_forecast,relative_humidity_2m_forecast,precipitation_forecast,surface_pressure_forecast,wind_speed_10m_forecast,wind_direction_10m_forecast,boundary_layer_height_forecast,dew_point_2m_forecast,vapour_pressure_deficit_forecast,cloud_cover_forecast,cloud_cover_low_forecast,shortwave_radiation_forecast,wind_gusts_10m_forecast,wind_speed_100m_forecast,wind_direction_100m_forecast
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 07:00:00+00:00,1,7,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,29.0,76,0.2,1007.7,13.4,253,965.0,24.3,0.98,100,17,497.0,41.4,20.6,254
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 12:00:00+00:00,6,12,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.2,86,0.0,1009.5,11.2,260,485.0,23.7,0.46,100,14,0.0,28.4,22.3,254
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 18:00:00+00:00,12,18,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.1,86,0.0,1009.8,13.0,251,435.0,22.5,0.46,100,4,0.0,29.2,26.1,248
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-16 06:00:00+00:00,24,30,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,27.0,85,3.3,1009.4,12.4,270,535.0,24.2,0.53,100,25,464.0,39.6,20.2,271
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-17 06:00:00+00:00,48,54,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,30.3,71,0.1,1007.6,12.1,281,1130.0,24.5,1.24,100,100,774.0,33.5,18.1,279
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 07:00:00+00:00,1,7,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,29.1,74,0.3,1007.1,15.1,267,955.0,24.0,1.04,100,8,512.0,36.4,21.7,263
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 12:00:00+00:00,6,12,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.4,85,0.0,1009.0,11.9,255,465.0,23.8,0.5,100,4,0.0,25.9,21.2,252
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 18:00:00+00:00,12,18,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.2,86,0.0,1009.1,15.0,244,425.0,22.7,0.45,100,1,0.0,31.3,26.6,244
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-16 06:00:00+00:00,24,30,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.8,84,2.9,1008.9,17.6,271,555.0,23.9,0.55,100,23,536.0,46.1,26.3,272
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-17 06:00:00+00:00,48,54,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,29.3,76,0.1,1007.1,13.4,285,955.0,24.7,0.96,100,100,726.0,40.0,18.9,281
